The Diner at LVM Resort,4,3
The Diner at LVM Resort,3,2
The Diner at LVM Resort,2,2
The Diner at LVM Resort,1,3
Baguette Cafe,4,3
Baguette Cafe,3,4
Baguette Cafe,2,2
Baguette Cafe,1,3
Tea Station,4,3
Tea Station,3,2
Tea Station,2,2
Tea Station,1,4
Sunrise Coffee,4,2
Sunrise Coffee,3,3
Sunrise Coffee,2,3
Sunrise Coffee,1,2
Grouchy John's Coffee Shop,4,2
Grouchy John's Coffee Shop,3,3
Grouchy John's Coffee Shop,2,4
Grouchy John's Coffee Shop,1,3
Le Cafe Ile Saint Louis,4,3
Le Cafe Ile Saint Louis,3,3
Le Cafe Ile Saint Louis,2,4
Le Cafe Ile Saint Louis,1,4
Espressamente Illy,4,2
Espressamente Illy,3,3
Espressamente Illy,2,3
Espressamente Illy,1,4
The Beat Coffeehouse,4,2
The Beat Coffeehouse,3,3
The Beat Coffeehouse,2,4
The Beat Coffeehouse,1,4
MadHouse Coffee,4,2
MadHouse Coffee,3,3
MadHouse Coffee,2,3
MadHouse Coffee,1,4
Volcano Tea House,4,4
Volcano Tea House,3,4
Volcano Tea House,2,3
Volcano Tea House,1,3